words;T1;T2;T3;T4;T5;T6;T7
mddl;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ever;4,36E-05;5,92E-05;6,02E-06;2,65E-06;3,37E-05;1,33E-05;9,44E-05
mine;8,72E-06;3,48E-06;0,000331321;0,000240872;3,37E-05;3,11E-05;4,10E-06
cbcl;2,27E-05;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
vver;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
feni;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mass;4,36E-05;0,000317086;0,000307225;0,001119658;3,37E-05;0,0014688;0,000242077
gmdr;1,74E-06;1,05E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
poke;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
surg;8,72E-06;3,48E-06;1,81E-05;0,00015617;3,37E-05;4,44E-06;1,23E-05
pose;0,000120321;3,14E-05;0,000307225;8,73E-05;3,37E-05;1,33E-05;8,62E-05
quiz;5,23E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ensu;1,57E-05;3,48E-06;6,02E-06;1,32E-05;3,37E-05;3,99E-05;2,05E-05
viti;1,74E-06;3,48E-06;6,02E-06;2,91E-05;3,37E-05;4,44E-06;1,23E-05
msfb;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
cdkl;1,74E-06;6,62E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
giga;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
cava;1,74E-06;3,48E-06;6,02E-06;2,65E-06;0,000101044;4,44E-06;4,10E-06
trne;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
grad;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
sgot;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
lost;4,01E-05;2,44E-05;6,02E-06;0,0001297;3,37E-05;3,99E-05;5,33E-05
hysi;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
cbct;1,74E-06;5,92E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
exon;1,74E-06;8,01E-05;6,02E-06;2,65E-06;3,37E-05;2,22E-05;0,000118987
lose;6,80E-05;1,05E-05;6,02E-06;2,38E-05;3,37E-05;4,44E-06;3,69E-05
june;2,27E-05;0,000128925;5,42E-05;9,26E-05;0,000101044;4,44E-06;4,10E-06
egov;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
gnss;1,74E-06;3,48E-06;6,02E-06;1,32E-05;3,37E-05;4,44E-06;4,10E-06
tmdl;1,74E-06;3,48E-06;6,63E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
pore;1,74E-06;3,48E-06;0,000138553;0,000569093;3,37E-05;4,44E-06;9,44E-05
tree;1,74E-06;9,41E-05;0,000126504;0,000907902;3,37E-05;3,99E-05;0,000127193
hahn;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ofth;1,74E-06;3,48E-06;6,02E-06;7,94E-06;3,37E-05;4,44E-06;4,10E-06
idss;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
pick;3,66E-05;3,48E-06;6,02E-06;6,09E-05;3,37E-05;4,44E-06;3,69E-05
plsr;1,74E-06;3,48E-06;6,02E-06;2,91E-05;3,37E-05;4,44E-06;4,10E-06
ibec;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;1,23E-05
wwtp;1,74E-06;3,48E-06;0,000150601;2,65E-06;3,37E-05;4,44E-06;4,10E-06
mgsu;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
slns;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;5,33E-05
jasm;1,74E-06;3,48E-06;6,02E-06;2,91E-05;3,37E-05;4,44E-06;4,10E-06
peat;1,74E-06;3,48E-06;6,02E-06;3,97E-05;3,37E-05;4,44E-06;4,10E-06
leaf;1,74E-06;3,48E-06;6,02E-06;0,001087894;3,37E-05;3,11E-05;8,62E-05
fern;1,74E-06;3,48E-06;1,81E-05;7,94E-06;3,37E-05;4,44E-06;4,10E-06
tank;1,74E-06;3,48E-06;0,000777099;0,000611444;3,37E-05;3,11E-05;1,23E-05
bolt;1,74E-06;3,48E-06;6,02E-06;7,15E-05;3,37E-05;4,44E-06;4,10E-06
dsps;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
ccme;1,74E-06;3,48E-06;1,81E-05;2,65E-06;3,37E-05;4,44E-06;4,10E-06
brix;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
iugr;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;4,88E-05;4,10E-06
esid;1,74E-06;5,23E-05;6,02E-06;2,65E-06;3,37E-05;4,44E-06;4,10E-06
gprs;1,74E-06;1,74E-05;6,02E-06;2,65E-06;3,37E-05;4,88E-05;4,10E-06
blet;1,74E-06;3,48E-06;6,02E-06;2,65E-06;3,37E-05;1,33E-05;4,10E-06
